iMS-100 ,1101771,2,1,2024/06/18,06:01:42, 8618,02:09:54,Meisei                          ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
05:49:35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 24.80,73.20,1013.0, 24.60,  0.00,71.10,  0.00,  0.20, 2.10,No above in BL check                                            
+1.1017710e+06,+0.0000000e+00,+1.6049600e+06,+2.2200000e+02,+1.3050340e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0531150e+06,+4.5000000e+01
+1.1017710e+06,+6.0000000e+01,+4.0029999e+01,+3.5029999e+01,+3.0010000e+01,+2.5000000e+01,+0.0000000e+00,-2.0010000e+01,-3.0000000e+01,-4.0000000e+01,-5.5090000e+01,-6.9959999e+01,-8.4989998e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1017710e+06,+6.9003600e-01,+1.3128500e+00,+1.5625100e+00,+1.8713800e+00,+2.2566800e+00,+6.1878500e+00,+1.5618100e+01,+2.5964701e+01,+4.4585701e+01,+1.0791600e+02,+2.7876599e+02,+7.5092499e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1017710e+06,-2.4121300e+02,+1.3972800e+03,-8.6677899e+02,+1.4226100e+02,-3.6319599e+01,+9.9561935e+01,+5.6028384e-01,-2.7971151e+00,+3.9110000e-07,+2.8281900e-04,+3.3362501e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:00:53,    4,6,4,-------,00062,  0,404.50217,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 24.6, 70.9,0000,365.43,  0.00,327.71,355.91,  0.00,  1.87,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:54,    6,6,4,1101771,00064,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.8,0000,365.42,  0.00,327.71,355.91,  0.00,  2.02,260.92,  0.00,0,--,--,--,--,--,--,--,--
09:00:55,    8,6,4,1101771,00066,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.8,0000,365.42,  0.00,327.70,355.91,  0.00,  1.87,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:56,   10,6,4,1101771,00068,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.8,0000,365.43,  0.00,327.70,355.91,  0.00,  2.02,260.47,  0.00,0,--,--,--,--,--,--,--,--
09:00:57,   12,6,4,1101771,00070,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.8,0000,365.43,  0.00,327.71,355.92,  0.00,  1.87,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:58,   14,6,4,1101771,00072,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.7,0000,365.43,  0.00,327.71,355.92,  0.00,  2.02,259.94,  0.00,0,--,--,--,--,--,--,--,--
09:00:59,   16,6,4,1101771,00074,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.7,0000,365.43,  0.00,327.69,355.92,  0.00,  1.87,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:00,   18,6,4,1101771,00076,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.7,0000,365.43,  0.00,327.69,355.92,  0.00,  2.03,259.43,  0.00,0,--,--,--,--,--,--,--,--
09:01:01,   20,6,4,1101771,00078,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.7,0000,365.43,  0.00,327.72,355.92,  0.00,  1.87,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:02,   22,6,4,1101771,00080,  0,404.50204,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.6, 70.7,0000,365.43,  0.00,327.72,355.92,  0.00,  2.03,259.00,  0.00,0,--,--,--,--,--,--,--,--
