iMS-100 ,1101386,2,1,2024/06/18,09:31:24, 6255,01:27:32,Seisuimaru                      ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
09:16:54,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 24.90,79.80,1013.0, 24.80,  0.00,76.60,  0.00,  0.10, 3.20,No above in BL check                                            
+1.1013860e+06,+0.0000000e+00,+1.6045670e+06,+2.2200000e+02,+1.3046340e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0527160e+06,+4.6000000e+01
+1.1013860e+06,+6.0000000e+01,+4.0029999e+01,+3.5009998e+01,+3.0030001e+01,+2.0000000e+01,-1.0000000e+01,-2.0000000e+01,-3.0000000e+01,-3.9970001e+01,-6.0090000e+01,-7.0080002e+01,-8.5029999e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013860e+06,+6.2291902e-01,+1.1846000e+00,+1.4106899e+00,+1.6884600e+00,+2.4567399e+00,+8.7033701e+00,+1.4012000e+01,+2.3257401e+01,+3.9815498e+01,+1.3126601e+02,+2.5014500e+02,+6.6533502e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013860e+06,-1.7885200e+03,+3.1721001e+03,-1.5354100e+03,+2.2536000e+02,-3.6338673e+01,+9.9589523e+01,+5.9700751e-01,-2.8051016e+00,+3.9346000e-07,+2.8278001e-04,+3.3366401e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:14:43,    4,2,4,1101386,00034,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 25.1, 77.8,0000,361.20,  0.00,327.70,352.03,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:14:44,    6,2,4,1101386,00036,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.70,352.03,  0.00,  1.98,244.25,  0.00,0,--,--,--,--,--,--,--,--
09:14:45,    8,2,4,1101386,00038,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.72,352.03,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:14:46,   10,2,4,1101386,00040,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.72,352.03,  0.00,  1.98,243.99,  0.00,0,--,--,--,--,--,--,--,--
09:14:47,   12,2,4,1101386,00042,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.73,352.03,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:14:48,   14,2,4,1101386,00044,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.73,352.03,  0.00,  1.99,243.83,  0.00,0,--,--,--,--,--,--,--,--
09:14:49,   16,2,4,1101386,00046,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.8,0000,361.20,  0.00,327.74,352.04,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:14:50,   18,2,4,1101386,00048,218,404.60336,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.7,0000,361.20,  0.00,327.74,352.04,  0.00,  1.99,243.69,  0.00,0,--,--,--,--,--,--,--,--
09:14:51,   20,2,4,1101386,00050,218,404.60324,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.7,0000,361.20,  0.00,327.72,352.04,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:14:52,   22,2,4,1101386,00052,218,404.60324,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 77.7,0000,361.20,  0.00,327.72,352.04,  0.00,  2.00,243.37,  0.00,0,--,--,--,--,--,--,--,--
