iMS-100 ,1101322,2,1,2024/06/18,10:30:04, 2154,00:24:28,Meisei                          ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
10:19:59,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 25.30,74.10,1013.0, 25.20,  0.00,72.90,  0.00,  0.10, 1.20,No above in BL check                                            
+1.1013220e+06,+0.0000000e+00,+1.6044310e+06,+2.2200000e+02,+1.3044970e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0527140e+06,+1.9000000e+01
+1.1013220e+06,+6.0000000e+01,+3.9970001e+01,+2.5010000e+01,+1.0010000e+01,-9.9999998e-03,-9.9899998e+00,-2.0000000e+01,-2.9990000e+01,-3.9990002e+01,-4.5009998e+01,-5.0009998e+01,-8.4980003e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013220e+06,+7.1290898e-01,+1.3569700e+00,+2.3219399e+00,+4.1770000e+00,+6.3731098e+00,+9.9790697e+00,+1.6083099e+01,+2.6770100e+01,+4.6010799e+01,+6.1288799e+01,+8.2187599e+01,+7.7203900e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013220e+06,+3.0064900e+03,-2.4776799e+03,+6.7917297e+02,-6.3493999e+01,-3.6326435e+01,+9.9551636e+01,+5.5036038e-01,-2.8088439e+00,+4.1198800e-07,+2.8214499e-04,+3.3557001e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:00:47,    4,2,4,-------,00044,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 25.3, 71.9,0000,360.31,  0.00,327.74,351.93,  0.00,  1.98,245.60,  0.00,0,--,--,--,--,--,--,--,--
09:00:48,    6,2,4,-------,00046,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.31,  0.00,327.77,351.93,  0.00,  1.85,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:49,    8,2,4,1101322,00048,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.31,  0.00,327.77,351.93,  0.00,  1.98,245.22,  0.00,0,--,--,--,--,--,--,--,--
09:00:50,   10,2,4,1101322,00050,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.31,  0.00,327.74,351.93,  0.00,  1.85,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:51,   12,2,4,1101322,00052,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.31,  0.00,327.74,351.93,  0.00,  1.99,245.04,  0.00,0,--,--,--,--,--,--,--,--
09:00:52,   14,2,4,1101322,00054,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.31,  0.00,327.78,351.93,  0.00,  1.85,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:53,   16,2,4,1101322,00056,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.32,  0.00,327.78,351.93,  0.00,  1.99,244.59,  0.00,0,--,--,--,--,--,--,--,--
09:00:54,   18,2,4,1101322,00058,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.3, 71.9,0000,360.32,  0.00,327.77,351.93,  0.00,  1.85,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:55,   20,2,4,1101322,00060,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 72.2,0000,360.47,  0.00,327.77,351.93,  0.00,  1.99,244.30,  0.00,0,--,--,--,--,--,--,--,--
09:00:56,   22,2,4,1101322,00062,  0,401.90408,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.1, 72.2,0000,360.47,  0.00,327.76,351.93,  0.00,  1.85,  0.00,  0.00,0,--,--,--,--,--,--,--,--
