iMS-100 ,1101327,2,1,2024/06/18,11:47:51, 5433,01:23:01,Meisei                          ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
11:44:03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 24.20,86.30,1013.0, 24.10,  0.00,85.80,  0.00,  0.10, 0.50,No above in BL check                                            
+1.1013270e+06,+0.0000000e+00,+1.6044360e+06,+2.2200000e+02,+1.3045020e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0527140e+06,+1.9000000e+01
+1.1013270e+06,+6.0000000e+01,+3.9980000e+01,+3.5009998e+01,+3.0000000e+01,+2.5030001e+01,+1.9990000e+01,+1.0010000e+01,-1.0000000e+01,-2.9990000e+01,-3.9970001e+01,-8.0080002e+01,-8.5050003e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013270e+06,+6.3226801e-01,+1.2040600e+00,+1.4312900e+00,+1.7134200e+00,+2.0581100e+00,+2.4856501e+00,+3.6959200e+00,+8.8202801e+00,+2.3507601e+01,+4.0258301e+01,+4.8359299e+02,+6.6549597e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013270e+06,+2.2699099e+03,-1.6383500e+03,+3.5814001e+02,-2.2441900e+01,-3.6347633e+01,+9.9550598e+01,+5.2775306e-01,-2.8319051e+00,+3.9975299e-07,+2.8240500e-04,+3.3386101e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:01:27,    4,2,4,1101387,00018,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 22.2,100.0,0000,364.64,  0.00,327.67,355.46,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:28,    6,2,4,1101387,00020,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.2,100.0,0000,364.64,  0.00,327.67,355.46,  0.00,  1.94,248.46,  0.00,0,--,--,--,--,--,--,--,--
09:01:29,    8,2,4,1101387,00022,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.2,100.0,0000,364.64,  0.00,327.73,355.46,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:30,   10,2,4,1101387,00024,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.2,100.0,0000,364.64,  0.00,327.73,355.46,  0.00,  1.95,248.35,  0.00,0,--,--,--,--,--,--,--,--
09:01:31,   12,2,4,1101387,00026,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.2,100.0,0000,364.64,  0.00,327.76,355.46,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:32,   14,2,4,1101387,00028,  0,402.00192,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.1,100.0,0000,364.65,  0.00,327.76,355.46,  0.00,  1.96,248.29,  0.00,0,--,--,--,--,--,--,--,--
09:01:33,   16,2,4,1101387,00030,  0,402.00180,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.1,100.0,0000,364.65,  0.00,327.75,355.46,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:34,   18,2,4,1101387,00032,  0,402.00180,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.1,100.0,0000,364.65,  0.00,327.75,355.46,  0.00,  1.96,247.97,  0.00,0,--,--,--,--,--,--,--,--
09:01:35,   20,2,4,1101387,00034,  0,402.00180,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.1,100.0,0000,364.65,  0.00,327.76,355.46,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:36,   22,2,4,1101387,00036,  0,402.00180,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 22.1,100.0,0000,364.65,  0.00,327.76,355.46,  0.00,  1.97,247.75,  0.00,0,--,--,--,--,--,--,--,--
