iMS-100 ,1101772,2,1,2024/06/18,12:30:12, 6621,01:35:28,Seisuimaru                      ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
12:16:50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 24.60,81.00,1013.0, 24.40,  0.00,78.70,  0.00,  0.20, 2.30,No above in BL check                                            
+1.1017720e+06,+0.0000000e+00,+1.6049610e+06,+2.2200000e+02,+1.3050350e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0531150e+06,+3.5000000e+01
+1.1017720e+06,+6.0000000e+01,+4.0029999e+01,+3.0010000e+01,+2.5000000e+01,+2.0020000e+01,+0.0000000e+00,-1.0010000e+01,-2.0010000e+01,-3.0000000e+01,-4.0000000e+01,-6.9959999e+01,-8.5000000e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1017720e+06,+6.6515499e-01,+1.2698100e+00,+1.8137500e+00,+2.1854200e+00,+2.6448500e+00,+6.0119500e+00,+9.4398403e+00,+1.5230000e+01,+2.5355000e+01,+4.3631302e+01,+2.7493900e+02,+7.4652899e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1017720e+06,-8.6733101e+01,+1.2158101e+03,-7.9045099e+02,+1.3121899e+02,-3.6324234e+01,+9.9606155e+01,+5.3602862e-01,-2.7920890e+00,+3.9211400e-07,+2.8272299e-04,+3.3375500e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:00:55,    4,2,4,1101772,00034,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 24.5, 81.2,0000,362.48,  0.00,327.79,353.08,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:56,    6,2,4,1101772,00036,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.3,0000,362.49,  0.00,327.79,353.08,  0.00,  2.00,257.73,  0.00,0,--,--,--,--,--,--,--,--
09:00:57,    8,2,4,1101772,00038,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.2,0000,362.49,  0.00,327.84,353.08,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:58,   10,2,4,1101772,00040,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.2,0000,362.49,  0.00,327.84,353.08,  0.00,  2.00,257.38,  0.00,0,--,--,--,--,--,--,--,--
09:00:59,   12,2,4,1101772,00042,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.2,0000,362.49,  0.00,327.86,353.08,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:00,   14,2,4,1101772,00044,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.1,0000,362.49,  0.00,327.86,353.08,  0.00,  2.00,257.16,  0.00,0,--,--,--,--,--,--,--,--
09:01:01,   16,2,4,1101772,00046,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.1,0000,362.49,  0.00,327.80,353.10,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:02,   18,2,4,1101772,00048,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.80,353.10,  0.00,  2.01,256.72,  0.00,0,--,--,--,--,--,--,--,--
09:01:03,   20,2,4,1101772,00050,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.85,353.10,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:04,   22,2,4,1101772,00052,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.85,353.10,  0.00,  2.02,256.52,  0.00,0,--,--,--,--,--,--,--,--
09:01:05,   24,2,4,1101772,00054,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.89,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:06,   26,2,4,1101772,00056,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.89,353.11,  0.00,  2.02,256.11,  0.00,0,--,--,--,--,--,--,--,--
09:01:07,   28,2,4,1101772,00058,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.49,  0.00,327.80,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:08,   30,2,4,1101772,00060,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.49,  0.00,327.80,353.11,  0.00,  2.02,255.85,  0.00,0,--,--,--,--,--,--,--,--
09:01:09,   32,2,4,1101772,00062,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.49,  0.00,327.83,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:10,   34,2,4,1101772,00064,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.83,353.11,  0.00,  2.03,255.37,  0.00,0,--,--,--,--,--,--,--,--
09:01:11,   36,2,4,1101772,00066,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.90,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:12,   38,2,4,1101772,00068,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.90,353.11,  0.00,  2.03,255.23,  0.00,0,--,--,--,--,--,--,--,--
09:01:13,   40,2,4,1101772,00070,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.79,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:14,   42,2,4,1101772,00072,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.79,353.11,  0.00,  2.03,254.81,  0.00,0,--,--,--,--,--,--,--,--
09:01:15,   44,2,4,1101772,00074,218,403.50385,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.0,0000,362.50,  0.00,327.84,353.09,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:16,   46,2,4,1101772,00076,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.9,0000,362.50,  0.00,327.84,353.09,  0.00,  2.04,254.45,  0.00,0,--,--,--,--,--,--,--,--
09:01:17,   48,2,4,1101772,00078,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.8,0000,362.50,  0.00,327.76,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:18,   50,2,4,1101772,00080,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.8,0000,362.50,  0.00,327.76,353.11,  0.00,  2.05,254.08,  0.00,0,--,--,--,--,--,--,--,--
09:01:19,   52,2,4,1101772,00082,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.8,0000,362.50,  0.00,327.84,353.12,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:20,   54,2,4,1101772,00084,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.84,353.12,  0.00,  2.04,253.65,  0.00,0,--,--,--,--,--,--,--,--
09:01:21,   56,2,4,1101772,00086,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.82,353.12,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:22,   58,2,4,1101772,00088,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.82,353.12,  0.00,  2.05,253.35,  0.00,0,--,--,--,--,--,--,--,--
09:01:23,   60,2,4,1101772,00090,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.88,353.12,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:24,   62,2,4,1101772,00092,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.88,353.12,  0.00,  2.05,252.81,  0.00,0,--,--,--,--,--,--,--,--
09:01:25,   64,2,4,1101772,00094,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.50,  0.00,327.92,353.14,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:26,   66,2,4,1101772,00096,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.51,  0.00,327.92,353.14,  0.00,  2.05,252.45,  0.00,0,--,--,--,--,--,--,--,--
09:01:27,   68,2,4,1101772,00098,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.6,0000,362.51,  0.00,327.86,353.14,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:28,   70,2,4,1101772,00100,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.6,0000,362.51,  0.00,327.86,353.14,  0.00,  2.05,252.10,  0.00,0,--,--,--,--,--,--,--,--
09:01:29,   72,2,4,1101772,00102,218,403.50372,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.51,  0.00,327.83,353.13,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:30,   74,2,4,1101772,00104,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.6,0000,362.51,  0.00,327.83,353.13,  0.00,  2.06,251.55,  0.00,0,--,--,--,--,--,--,--,--
09:01:31,   76,2,4,1101772,00106,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.51,  0.00,327.89,353.11,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:32,   78,2,4,1101772,00108,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.51,  0.00,327.89,353.11,  0.00,  2.06,251.16,  0.00,0,--,--,--,--,--,--,--,--
09:01:33,   80,2,4,1101772,00110,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.7,0000,362.51,  0.00,327.89,353.13,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:34,   82,2,4,1101772,00112,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.6,0000,362.51,  0.00,327.89,353.13,  0.00,  2.07,250.84,  0.00,0,--,--,--,--,--,--,--,--
09:01:35,   84,2,4,1101772,00114,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.5,0000,362.51,  0.00,327.76,353.15,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:36,   86,2,4,1101772,00116,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.5,0000,362.51,  0.00,327.76,353.15,  0.00,  2.06,250.28,  0.00,0,--,--,--,--,--,--,--,--
09:01:37,   88,2,4,1101772,00118,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.5,0000,362.51,  0.00,327.90,353.15,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:38,   90,2,4,1101772,00120,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 80.6,0000,362.51,  0.00,327.90,353.15,  0.00,  2.07,250.15,  0.00,0,--,--,--,--,--,--,--,--
09:01:39,   92,2,4,1101772,00122,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.2,0000,362.51,  0.00,327.79,353.13,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:01:40,   94,2,4,1101772,00124,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.2,0000,362.52,  0.00,327.79,353.13,  0.00,  2.07,249.68,  0.00,0,--,--,--,--,--,--,--,--
09:01:41,   96,2,4,1101772,00126,218,403.50360,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 24.5, 81.1,0000,362.52,  0.00,327.82,353.15,  0.00,  1.91,  0.00,  0.00,0,--,--,--,--,--,--,--,--
