iMS-100 ,1101388,2,1,2024/06/18,13:29:57, 3915,00:52:42,Meisei                          ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
13:18:47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 25.00,81.20,1013.0, 24.80,  0.00,81.10,  0.00,  0.20, 0.10,No above in BL check                                            
+1.1013880e+06,+0.0000000e+00,+1.6045690e+06,+2.2200000e+02,+1.3046360e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0527160e+06,+4.5000000e+01
+1.1013880e+06,+6.0000000e+01,+4.0029999e+01,+3.5009998e+01,+3.0030001e+01,+2.0000000e+01,-2.9990000e+01,-3.9970001e+01,-4.5000000e+01,-5.0009998e+01,-6.0090000e+01,-8.0070000e+01,-8.5029999e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013880e+06,+6.9034201e-01,+1.3163500e+00,+1.5687300e+00,+1.8771400e+00,+2.7297399e+00,+2.5657400e+01,+4.3886902e+01,+5.7939098e+01,+7.8093597e+01,+1.4456300e+02,+5.2774298e+02,+7.2614099e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013880e+06,-1.5220601e+03,+2.8823799e+03,-1.4339500e+03,+2.1386900e+02,-3.6312328e+01,+9.9595367e+01,+5.8927423e-01,-2.7775466e+00,+3.8576999e-07,+2.8284101e-04,+3.3348601e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
09:00:44,    4,2,4,1101388,00032,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 25.0, 80.0,c000,362.93,  0.00,------,------,  0.00,  1.97,255.22,  0.00,0,--,--,--,--,--,--,--,--
09:00:45,    6,2,4,1101388,00034,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.72,353.68,  0.00,  1.86,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:46,    8,2,4,1101388,00036,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.72,353.68,  0.00,  1.98,254.83,  0.00,0,--,--,--,--,--,--,--,--
09:00:47,   10,2,4,1101388,00038,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.74,353.69,  0.00,  1.86,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:48,   12,2,4,1101388,00040,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.74,353.69,  0.00,  1.98,254.70,  0.00,0,--,--,--,--,--,--,--,--
09:00:49,   14,2,4,1101388,00042,  0,404.50266,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.76,353.69,  0.00,  1.86,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:50,   16,2,4,1101388,00044,  0,404.50253,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 79.9,0000,362.93,  0.00,327.76,353.69,  0.00,  1.99,254.24,  0.00,0,--,--,--,--,--,--,--,--
09:00:51,   18,2,4,1101388,00046,  0,404.50253,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 79.9,0000,362.93,  0.00,327.70,353.69,  0.00,  1.86,  0.00,  0.00,0,--,--,--,--,--,--,--,--
09:00:52,   20,2,4,1101388,00048,  0,404.50253,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.70,353.69,  0.00,  1.99,254.01,  0.00,0,--,--,--,--,--,--,--,--
09:00:53,   22,2,4,1101388,00050,  0,404.50253,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 25.0, 80.0,0000,362.93,  0.00,327.74,353.68,  0.00,  1.86,  0.00,  0.00,0,--,--,--,--,--,--,--,--
