iMS-100 ,1101326,2,1,2024/06/18,14:30:07, 5749,01:20:25,Seisuimaru                      ,+36.26500,+139.20139, +55,  +2,Observer's name                 ,Observation is ended                                            ,  +0,1
14:16:35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1013.0, 27.20,78.20,1013.0, 27.00,  0.00,78.40,  0.00,  0.20,-0.20,No above in BL check                                            
+1.1013260e+06,+0.0000000e+00,+1.6044350e+06,+2.2200000e+02,+1.3045010e+06,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+1.0527140e+06,+3.0000000e+00
+1.1013260e+06,+6.0000000e+01,+3.9980000e+01,+2.5030001e+01,+1.9990000e+01,-1.0000000e+01,-2.9990000e+01,-3.9959999e+01,-4.4990002e+01,-6.0080002e+01,-7.5080002e+01,-8.0080002e+01,-8.5050003e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013260e+06,+6.8910599e-01,+1.3074000e+00,+2.2307701e+00,+2.6951699e+00,+9.5112104e+00,+2.5308800e+01,+4.3275299e+01,+5.7333000e+01,+1.4134200e+02,+3.6966800e+02,+5.0863599e+02,+6.9604102e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+1.1013260e+06,+1.6034700e+03,-8.6375702e+02,+5.6915100e+01,+1.6628401e+01,-3.6374153e+01,+9.9598679e+01,+6.0521442e-01,-2.8330514e+00,+4.2374799e-07,+2.8217799e-04,+3.3519701e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
Time(LT UTC+09.0),DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
14:14:45,    4,2,4,-------,00216,218,400.30191,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,1,------, 27.1, 77.5,0000,363.63,  0.00,327.85,355.54,  0.00,  2.08,224.40,  0.00,0,--,--,--,--,--,--,--,--
14:14:46,    6,2,4,-------,00218,218,400.30191,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.5,0000,363.63,  0.00,327.84,355.53,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:47,    8,2,4,-------,00220,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.5,0000,363.63,  0.00,327.84,355.53,  0.00,  2.08,223.97,  0.00,0,--,--,--,--,--,--,--,--
14:14:48,   10,2,4,-------,00222,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.5,0000,363.63,  0.00,327.79,355.53,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:49,   12,2,4,1101326,00224,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.4,0000,363.63,  0.00,327.79,355.53,  0.00,  2.09,223.61,  0.00,0,--,--,--,--,--,--,--,--
14:14:50,   14,2,4,1101326,00226,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.3,0000,363.63,  0.00,327.79,355.54,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:51,   16,2,4,1101326,00228,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.3,0000,363.63,  0.00,327.79,355.54,  0.00,  2.09,223.24,  0.00,0,--,--,--,--,--,--,--,--
14:14:52,   18,2,4,1101326,00230,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.2,0000,363.63,  0.00,327.82,355.53,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:53,   20,2,4,1101326,00232,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.2,0000,363.63,  0.00,327.82,355.53,  0.00,  2.09,222.72,  0.00,0,--,--,--,--,--,--,--,--
14:14:54,   22,2,4,1101326,00234,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.1,0000,363.63,  0.00,327.83,355.54,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:55,   24,2,4,1101326,00236,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.0,0000,363.63,  0.00,327.83,355.54,  0.00,  2.09,222.46,  0.00,0,--,--,--,--,--,--,--,--
14:14:56,   26,2,4,1101326,00238,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 77.0,0000,363.63,  0.00,327.86,355.54,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:57,   28,2,4,1101326,00240,218,400.30179,1,341.60,  0.10,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07089, 136.21431,0,1013.2, 27.1, 76.9,0000,363.64,  0.00,327.86,355.54,  0.00,  2.09,222.07,  0.00,2,05,19,--,--,--,--,--,--
14:14:58,   30,2,4,1101326,00242,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 76.8,0000,363.64,  0.00,327.83,355.54,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:14:59,   32,2,4,1101326,00244,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 76.8,0000,363.64,  0.00,327.83,355.54,  0.00,  2.10,221.62,  0.00,0,--,--,--,--,--,--,--,--
14:15:00,   34,2,4,1101326,00246,218,400.30179,1,180.00,  0.00,    0.0,---------,---------,0,----,----,---------,----------,0,1013.2, 27.1, 76.7,0000,363.64,  0.00,327.75,355.54,  0.00,  1.89,  0.00,  0.00,0,--,--,--,--,--,--,--,--
14:15:01,   36,2,4,1101326,00248,218,400.30179,1,287.70,  0.26,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.6,0000,363.64,  0.00,327.75,355.54,  0.00,  2.10,221.38,  0.00,2,05,19,--,--,--,--,--,--
14:15:02,   38,2,4,1101326,00250,218,400.30179,1,287.70,  0.26,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.5,0000,363.64,  0.00,327.82,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
14:15:03,   40,2,4,1101326,00252,218,400.30167,1,270.00,  0.15,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.5,0000,363.64,  0.00,327.82,355.55,  0.00,  2.10,220.87,  0.00,2,05,19,--,--,--,--,--,--
14:15:04,   42,2,4,1101326,00254,218,400.30167,1,270.00,  0.10,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.4,0000,363.64,  0.00,327.82,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
14:15:05,   44,2,4,1101326,00256,218,400.30167,1,270.00,  0.05,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.4,0000,363.64,  0.00,327.82,355.55,  0.00,  2.10,220.68,  0.00,2,05,19,--,--,--,--,--,--
14:15:06,   46,2,4,1101326,00258,218,400.30167,1,270.00,  0.05,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.3,0000,363.64,  0.00,327.86,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
14:15:07,   48,2,4,1101326,00260,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.3,0000,363.64,  0.00,327.86,355.55,  0.00,  2.10,220.20,  0.00,2,05,19,--,--,--,--,--,--
14:15:08,   50,2,4,1101326,00262,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.2,0000,363.64,  0.00,327.90,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
14:15:09,   52,2,4,1101326,00264,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.2,0000,363.64,  0.00,327.90,355.55,  0.00,  2.10,219.95,  0.00,2,05,19,--,--,--,--,--,--
14:15:10,   54,2,4,1101326,00266,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.2,0000,363.64,  0.00,327.78,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
14:15:11,   56,2,4,1101326,00268,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.1,0000,363.65,  0.00,327.78,355.55,  0.00,  2.11,219.55,  0.00,2,05,19,--,--,--,--,--,--
14:15:12,   58,2,4,1101326,00270,218,400.30167,1,180.00,  0.00,    0.0,      0.0,      0.0,2, 4.7, 4.8, 34.07084, 136.21423,0,1013.2, 27.1, 76.1,0000,363.65,  0.00,327.84,355.55,  0.00,  1.89,  0.00,  0.00,2,05,19,--,--,--,--,--,--
